DATE,TRADINGCODE,LTP*,HIGH,LOW,OPENP*,CLOSEP*,YCP,TRADE,VALUE (mn),VOLUME,Change
2016-12-15,1JANATAMF,5.2,5.2,5,5.1,5.2,5.1,76,1.726,336494,1.96%
2016-12-15,1STPRIMFMF,9.2,9.3,9.2,9.3,9.2,9.3,90,2.275,245500,-1.08%
2016-12-15,7THICB,0,0,0,0,0,121.1,0,0,0,-100.00%
2016-12-15,8THICB,0,0,0,0,60,60,0,0,0,0.00%
2016-12-15,AAMRATECH,31.2,33.5,31,32.6,31.3,32.4,1092,55.393,1729477,-3.40%
2016-12-15,ABB1STMF,5.2,5.2,5.2,5.2,5.2,5.2,20,1.133,217886,0.00%
2016-12-15,ABBANK,22,22.1,20.9,21.1,22,20.8,1780,112.302,5159897,5.77%
2016-12-15,ACI,385,391,383.4,390.6,386.1,387.1,941,37.398,96934,-0.26%
2016-12-15,ACIFORMULA,153,155,152.1,153.3,152.4,153.4,260,6.66,43491,-0.65%
2016-12-15,ACMELAB,98.8,99.3,97.3,99.2,97.7,99.2,2846,92.668,944557,-1.51%
2016-12-15,ACTIVEFINE,43.3,44.7,43.1,44.3,43.4,44.3,2436,130.91,2991681,-2.03%
2016-12-15,AFCAGRO,52.5,54.7,52.4,54,52.7,53.9,1558,91.48,1719028,-2.23%
2016-12-15,AFTABAUTO,58,60.8,58,58.9,58.7,58.4,2009,111.18,1864337,0.51%
2016-12-15,AGNISYSL,20.4,20.9,20.2,20.5,20.3,20.6,503,14.906,727962,-1.46%
2016-12-15,AGRANINS,21.8,23,21.3,21.7,22.5,22.2,92,4.523,203329,1.35%
2016-12-15,AIBL1STIMF,7.9,8,7.9,8,7.9,7.9,6,0.269,34000,0.00%
2016-12-15,AL-HAJTEX,88.2,90.3,87,88.5,87.8,90,1055,20.252,229167,-2.44%
2016-12-15,ALARABANK,15.2,15.2,15,15.1,15.2,15.1,148,6,396915,0.66%
2016-12-15,ALLTEX,10,10.4,10,10.4,10.1,10.2,117,1.663,163161,-0.98%
2016-12-15,AMANFEED,70.4,71.6,69.8,71.6,70.1,71.7,1135,53.288,756295,-2.23%
2016-12-15,AMBEEPHA,393,395,370,371,387.5,370.1,763,14.947,38888,4.70%
2016-12-15,AMCL(PRAN),207,214.1,206.1,210,208.4,209.6,163,3.88,18469,-0.57%
2016-12-15,ANLIMAYARN,30.1,31.3,30.1,30.7,30.3,30.7,579,20.636,673959,-1.30%
2016-12-15,ANWARGALV,71.6,74.4,71.4,74.4,71.6,73.4,431,8.43,116737,-2.45%
2016-12-15,APEXFOODS,144,148.2,142,148.2,143.3,145.7,390,8.381,57962,-1.65%
2016-12-15,APEXFOOT,343,346.1,336.5,346,339.3,342.5,554,21.712,63768,-0.93%
2016-12-15,APEXSPINN,112.6,114,112,113.9,112.7,113.9,335,7.399,65679,-1.05%
2016-12-15,APEXTANRY,130.8,133.5,130,133.1,130.7,133,261,10.244,77583,-1.73%
2016-12-15,APOLOISPAT,17.8,18.3,17.6,18.2,17.7,18.1,2750,182.489,10201327,-2.21%
2016-12-15,ARAMIT,353,360.7,353,360.7,354.4,357.6,219,9.121,25689,-0.89%
2016-12-15,ARAMITCEM,34.4,34.9,34,34.1,34.4,33.9,325,7.916,228520,1.47%
2016-12-15,ARGONDENIM,31.3,32.6,31.2,32.4,31.4,31.9,1786,86.241,2728189,-1.57%
2016-12-15,ASIAINS,18.5,18.5,17.8,18.2,18.3,18.4,52,0.514,28326,-0.54%
2016-12-15,ASIAPACINS,19,19,17.9,18.6,18.5,18.9,9,0.035,1900,-2.12%
2016-12-15,ATCSLGF,10.2,10.2,9.8,9.8,10.2,10,16,0.077,7617,2.00%
2016-12-15,ATLASBANG,109.7,111.7,109.5,110.2,109.8,110.2,189,4.543,41379,-0.36%
2016-12-15,AZIZPIPES,69.7,70.5,69.4,70,69.7,70,48,0.37,5317,-0.43%
2016-12-15,BANGAS,118.7,120.5,118.3,119.5,118.8,119.2,118,1.657,13912,-0.34%
2016-12-15,BANKASIA,18.2,18.3,17.9,18.2,18.1,18,63,5.652,312331,0.56%
2016-12-15,BARKAPOWER,30.2,31.4,30.2,30.8,30.5,30.7,1251,77.014,2487763,-0.65%
2016-12-15,BATASHOE,1184.9,1193.9,1182,1193.9,1182.3,1183.8,149,8.92,7540,-0.13%
2016-12-15,BATBC,2504,2507.1,2504,2505.1,2505.8,2503.5,33,1.992,795,0.09%
2016-12-15,BAYLEASING,23.8,24.7,23.6,24.3,23.8,24.1,358,25.469,1046904,-1.24%
2016-12-15,BBS,51.6,53.5,49.3,49.4,51.7,49.5,6109,540.298,10483865,4.44%
2016-12-15,BDAUTOCA,86,88.9,82.3,88.9,83.9,86.9,258,1.128,13132,-3.45%
2016-12-15,BDCOM,25.6,26.4,25.5,25.8,25.6,25.7,693,37.798,1464953,-0.39%
2016-12-15,BDFINANCE,12.4,12.4,11.7,11.8,12.3,11.8,978,33.424,2743819,4.24%
2016-12-15,BDLAMPS,178.5,182,175,182,176.3,182,252,4.783,26787,-3.13%
2016-12-15,BDSERVICE,0,0,0,0,5.5,5.5,0,0,0,0.00%
2016-12-15,BDTHAI,24.3,25.1,24.2,24.8,24.3,24.7,1690,73.914,3020296,-1.62%
2016-12-15,BDWELDING,10.6,11.2,10.6,11.2,10.6,10.8,142,2.07,190638,-1.85%
2016-12-15,BEACHHATCH,10.6,10.7,10.2,10.7,10.4,10.7,163,2.051,197780,-2.80%
2016-12-15,BEACONPHAR,21.2,21.9,21.2,21.9,21.4,21.8,338,12.754,590907,-1.83%
2016-12-15,BENGALWTL,47,48.5,45.9,47.9,46.9,46.9,1111,42.535,903431,0.00%
2016-12-15,BERGERPBL,2330,2330,2330,2330,2330,2349.4,4,0.149,64,-0.83%
2016-12-15,BEXIMCO,24.3,24.6,24.1,24.4,24.2,24.2,1816,84.761,3485445,0.00%
2016-12-15,BGIC,19.9,19.9,19,19.4,19.8,19.6,79,2.285,116962,1.02%
2016-12-15,BIFC,8.2,8.6,8.2,8.2,8.3,8.3,48,0.673,80472,0.00%
2016-12-15,BNICL,17.4,17.5,17.2,17.2,17.4,17.2,316,7.321,422571,1.16%
2016-12-15,BRACBANK,65.3,65.3,65.1,65.3,65.2,65.3,297,39.286,602590,-0.15%
2016-12-15,BRACSCBOND,0,0,0,0,1023.5,1023.5,0,0,0,0.00%
2016-12-15,BSC,452,453.9,440,442.5,452.2,442.5,1550,31.909,71223,2.19%
2016-12-15,BSCCL,117.3,119,117.1,119,117.5,118.2,764,28.146,239314,-0.59%
2016-12-15,BSRMLTD,130,134.3,129.6,134,130.4,132.5,966,47.106,358109,-1.58%
2016-12-15,BSRMSTEEL,95.4,95.8,94.1,95.5,95.3,95.1,666,49.836,524332,0.21%
2016-12-15,BXPHARMA,80.3,81.5,79.9,81,80.2,81,729,49.571,614989,-0.99%
2016-12-15,BXSYNTH,7,7.4,7,7.3,7,7.3,111,1.256,176450,-4.11%
2016-12-15,CENTRALINS,18,18.2,17,17,18.1,17.2,58,1.162,65952,5.23%
2016-12-15,CENTRALPHL,16.9,17.7,16.9,17.5,17,17.4,1421,67.352,3934377,-2.30%
2016-12-15,CITYBANK,27.2,27.5,27,27,27.1,27,605,79.55,2923441,0.37%
2016-12-15,CITYGENINS,15.2,15.5,14.6,14.9,15.2,14.5,263,5.254,350430,4.83%
2016-12-15,CMCKAMAL,19,19.6,18.8,18.8,18.9,18.8,2443,173.786,9057871,0.53%
2016-12-15,CNATEX,9.4,9.9,9.3,9.9,9.4,9.7,1935,97.724,10275002,-3.09%
2016-12-15,CONFIDCEM,113,116.8,110.8,114,111.9,110.4,2310,131.651,1153447,1.36%
2016-12-15,CONTININS,17.8,17.9,17.3,17.4,17.7,17.6,112,4.084,232868,0.57%
2016-12-15,CVOPRL,186.7,191,186,191,186.4,189,824,15.385,82233,-1.38%
2016-12-15,DACCADYE,7.6,7.7,7.5,7.7,7.5,7.7,89,1.109,146160,-2.60%
2016-12-15,DAFODILCOM,42.1,42.6,41.5,42.6,42,42.6,387,23.344,555775,-1.41%
2016-12-15,DBH,101.3,102.4,100.2,101.3,101.3,100.9,253,9.281,91512,0.40%
2016-12-15,DBH1STMF,7.1,7.1,7.1,7.1,7.1,7.1,17,0.213,29990,0.00%
2016-12-15,DEBARACEM,0,0,0,0,1865,1865,0,0,0,0.00%
2016-12-15,DEBBDLUGG,0,0,0,0,784,784,0,0,0,0.00%
2016-12-15,DEBBDWELD,0,0,0,0,1418.5,1418.5,0,0,0,0.00%
2016-12-15,DEBBDZIPP,0,0,0,0,700,700,0,0,0,0.00%
2016-12-15,DEBBXDENIM,0,0,0,0,1450,1450,0,0,0,0.00%
2016-12-15,DEBBXFISH,0,0,0,0,835,835,0,0,0,0.00%
2016-12-15,DEBBXKNI,0,0,0,0,900,900,0,0,0,0.00%
